,id,type,when,result,time,lv,rating,luck,laning,kill,death,assistant,CS,KP,1_top,1_jug,1_mid,1_ad,1_sup,2_top,2_jug,2_mid,2_ad,2_sup
0,4504741686,Solo,48m ago,Win,24 min,LV15,7.6,S,4:6,3,2,21,183(7.6),55%,huntiand1,ke ai ke ai,Hide on bush,xxxss,참외 소스 하하,impupupu,AF Burry,스누피2,쌍수도,홈런볼 다 내꺼
1,4503195065,Solo,17h ago,Loss,28 min,LV12,3.1,A,3:7,1,7,6,51(1.8),21%,NO BB TOP KING,Da Su Ke De,군빵맨,Lactea4,Hide on bush,모찌피치모찌피치,Gen G Clid,wuwuwu wosile,Hp Day,한화 큐베
2,4503201595,Solo,18h ago,Loss,28 min,LV15,5.0,C,5:5,3,4,4,243(8.7),41%,모찌피치모찌피치,Gen G Clid,Hide on bush,T1 Gumayusi,한화 큐베,NO BB TOP KING,Da Su Ke De,hy2rwt,hope health,I still remember
3,4503210161,Solo,18h ago,Re,4 min,LV2,7.3,A,GG,0,0,2,4(1.0),50%,Lactea4,Aprox,미북이,T1 Gumayusi,Hide on bush,NO BB TOP KING,Da Su Ke De,wuwuwu wosile,I still remember,hope health
4,4502703696,Solo,22h ago,Win,28 min,LV15,6.4,B,GG,10,2,5,189(6.8),56%,TudouIei,OZ Juhan,Hide on bush,deokdam,Gen G Kellin,Koei,T1 Oner,qwetyz,T1 Gumayusi,SANDBOX Kabbie
5,4500661122,Solo,07/11,Loss,29 min,LV15,3.8,C,3:7,4,8,8,217(7.5),60%,huidao2018,no dream1,Hide on bush,xasfsdwqewq,Wubalubadubdub,SEKAI ICHI,yezouhua,단군의청춘부재,rumor has it,szygszn
6,4500624389,Solo,07/11,Loss,34 min,LV16,6.7,C,7:3,13,5,8,239(7.0),70%,이도류,lose jug,Hide on bush,히진 fan,김도칠,VWAIPFEI,파이팅이길수있어,wuwuwu wosile,천 번 찔린 테디,리그오브래전드ll
7,4500469405,Solo,07/11,Win,24 min,LV15,5.7,A,6:4,8,3,4,221(9.2),50%,T1 Khael,jjjjkkkkyyyy,Hide on bush,scoldm,Aibbly,T1 Roach,Time will telli,Aprox,Light1500,xishouj1an
8,4500552500,Solo,07/11,Win,16 min,LV11,6.1,S,4:6,2,1,4,115(7.2),40%,kalistapickopen,타 잔,Hide on bush,Light1500,xishouj1an,doekdam,10k EGO,qwetyz,sinabro1,러브 이정현
9,4500365881,Solo,07/11,Loss,35 min,LV17,3.2,B,3:7,4,8,5,229(6.5),41%,HLE Mireu,타 잔,Hide on bush,Da Su Ke De,다없수질,kalistapickopen,10k EGO,hy2rwt,Light1500,xishouj1an
10,4498470646,Solo,07/09,Win,31 min,LV16,7.2,B,8:2,12,4,5,216(7.0),63%,규 보 리,t악  마,Hide on bush,MCX Bruce,Seafood탑,HLE Baut,린 홍간,에픽세븐0616,Practice more,추 웠
11,4498395089,Solo,07/09,Win,21 min,LV11,6.5,S,5:5,12,5,6,115(5.5),51%,Dripking,린 홍간,Hide on bush,MKIT Loopy,MKIT BLOO,zhazhaqqq,파이팅이길수있어,wuwuwu wosile,Iovexixi,경북대 최문석
12,4496964204,Solo,07/09,Loss,17 min,LV8,2.4,D,2:8,0,2,0,88(5.2),0%,간다라쿤다,Hide on bush,BJ서준석사생팬,hope health,black svvan,월드에디션,Da Su Ke De,미북이,quaddd,Aibbly
13,4497010090,Solo,07/09,Loss,28 min,LV15,4.5,C,FF,8,8,7,157(5.6),65%,간다라쿤다,BJ서준석사생팬,Hide on bush,YukiJudaii,szygszn,세이호 노예,I still remember,려창동입니다,MKIT Loopy,MKIT BLOO
