,item_id,name,colloq,upper_item,lower_item,explain,buy_price,sell_price,description,tag,stat,effect
0,1001,Boots of Speed,;,"['3006', '3047', '3020', '3158', '3111', '3117', '3009', '4001']",,Slightly increases Movement Speed,300,210,<groupLimit>Limited to 1 pair of boots.</groupLimit><br><br><unique>UNIQUE Passive - Enhanced Movement:</unique> +25 Movement Speed,['Boots'],{'FlatMovementSpeedMod': 25},
0,1004,Faerie Charm,;,"['3028', '3070', '3073', '3114']",,Slightly increases Mana Regen,125,88,<stats><mana>+25% Base Mana Regen </mana></stats>,['ManaRegen'],{},
0,1006,Rejuvenation Bead,;,"['3077', '3801', '3194', '4401']",,Slightly increases Health Regen,150,105,<stats>+50% Base Health Regen </stats>,['HealthRegen'],{},
0,1011,Giant's Belt,;,"['3083', '3084', '3022', '3143', '3742']",['1028'],Greatly increases Health,600,700,<stats>+380 Health</stats>,['Health'],{'FlatHPPoolMod': 380},
0,1018,Cloak of Agility,;,"['3086', '3095', '3031', '3508']",,Increases critical strike chance,800,560,<stats>+20% Critical Strike Chance</stats>,['CriticalStrike'],{'FlatCritChanceMod': 0.2},
0,1026,Blasting Wand,;,"['3135', '3029', '3151', '3027', '3100', '3102', '3116', '3165', '3285']",,Moderately increases Ability Power,850,595,<stats>+40 Ability Power</stats>,['SpellDamage'],{'FlatMagicDamageMod': 40},
0,1027,Sapphire Crystal,;blue,"['3057', '3070', '3010', '3024', '3073', '1402', '1414', '3802', '4104']",,Increases Mana,350,245,<stats><mana>+250 Mana</mana></stats>,['Mana'],{'FlatMPPoolMod': 250},
0,1028,Ruby Crystal,;red,"['1011', '3075', '3211', '3136', '3068', '3010', '3801', '3044', '3052', '3053', '3067', '3814', '3116', '3748', '3751', '3916']",,Increases Health,400,280,<stats>+150 Health</stats>,['Health'],{'FlatHPPoolMod': 150},
0,1029,Cloth Armor,;,"['3047', '1031', '3191', '3024', '3082', '3076', '3105']",,Slightly increases Armor,300,210,<stats>+15 Armor</stats>,['Armor'],{'FlatArmorMod': 15},
0,1031,Chain Vest,;,"['3068', '3109', '3026', '3193', '3742']",['1029'],Greatly increases Armor,500,560,<stats>+40 Armor</stats>,['Armor'],{'FlatArmorMod': 40},
0,1033,Null-Magic Mantle,;,"['3111', '3211', '1057', '3028', '3140', '3155', '3105', '3190', '3102', '3194']",,Slightly increases Magic Resist,450,315,<stats>+25 Magic Resist</stats>,['SpellBlock'],{'FlatSpellBlockMod': 25},
0,1036,Long Sword,;,"['3077', '3123', '1053', '3155', '3134', '3179', '3035', '3044', '3052', '3072', '3133', '3144', '3161', '4003']",,Slightly increases Attack Damage,350,245,<stats>+10 Attack Damage</stats>,"['Damage', 'Lane']",{'FlatPhysicalDamageMod': 10},
0,1037,Pickaxe,;,"['3124', '3004', '3005', '3008', '3031', '3036', '3053', '3074', '3814', '3139']",,Moderately increases Attack Damage,875,613,<stats>+25 Attack Damage</stats>,['Damage'],{'FlatPhysicalDamageMod': 25},
0,1038,B. F. Sword,;bf,"['3172', '3095', '3026', '3031', '3072', '3161', '3508', '4403']",,Greatly increases Attack Damage,1300,910,<stats>+40 Attack Damage</stats>,['Damage'],{'FlatPhysicalDamageMod': 40},
0,1039,Hunter's Talisman,;jungle;Jungle,"['3706', '3715']",,Provides damage against Monsters and Mana Regen in the Jungle,350,245,"<br><unique>UNIQUE Passive - Tooth:</unique> Damaging a monster with a spell or attack  steals 30 Health over 5 seconds and burns them for 60 magic damage. <mana>While in the jungle or river, regenerate up to 8 Mana per second based on your missing Mana.</mana> This item grants <font color='#99BBBB'><a href='SpecialJungleExperience'>Monster Hunter</a></font>. This item's healing will be increased by 50% when under 30% Health.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>","['LifeSteal', 'ManaRegen', 'OnHit', 'Jungle']",{},"{'Effect1Amount': '60', 'Effect2Amount': '30', 'Effect3Amount': '5', 'Effect4Amount': '8', 'Effect5Amount': '0.3', 'Effect6Amount': '0.5'}"
0,1041,Hunter's Machete,;jungle;Jungle,"['3706', '3715']",,Provides damage and life steal versus Monsters,350,245,<stats>+10% Life Steal vs. Monsters</stats><br><br><unique>UNIQUE Passive - Nail:</unique> Basic attacks vs. Monsters deal 35 bonus damage on hit. This item grants <font color='#99BBBB'><a href='SpecialJungleExperience'>Monster Hunter</a></font>. This item's healing will be increased by 50% when under 30% Health.<br><br><groupLimit>Limited to 1 Gold Income or Jungle item.</groupLimit>,"['LifeSteal', 'OnHit', 'Jungle']",{},"{'Effect1Amount': '35', 'Effect2Amount': '0.1', 'Effect3Amount': '0.3', 'Effect4Amount': '0.5'}"
0,1042,Dagger,;,"['3172', '1043', '3091', '3006', '2015', '3085', '3086', '3046', '3101', '3131']",,Slightly increases Attack Speed,300,210,<stats>+12% Attack Speed</stats>,['AttackSpeed'],{'PercentAttackSpeedMod': 0.12},
0,1043,Recurve Bow,;,"['3091', '3153', '3124', '3675', '1416', '1419', '4105']","['1042', '1042']",Greatly increases Attack Speed,400,700,<stats>+25% Attack Speed</stats><br><br><unique>UNIQUE Passive:</unique> Basic attacks deal an additional 15 physical damage on hit.,"['AttackSpeed', 'OnHit']",{'PercentAttackSpeedMod': 0.25},{'Effect1Amount': '15'}
0,1052,Amplifying Tome,;amptome,"['3108', '3191', '3136', '3135', '3145', '3113', '3124', '3116', '3673', '3802', '3916']",,Slightly increases Ability Power,435,305,<stats>+20 Ability Power</stats>,['SpellDamage'],{'FlatMagicDamageMod': 20},
