,accountId,id,name,profileIconId,puuid,revisionDate,status.message,status.status_code,summonerLevel
0,8QwYmrMbH90s14ANy8lmuTGs4PnT3dbj78M5ZeAVsKfrSBI,1Vu7XWcqh5EwtTJF2CuhsWwXrVNqh9PPeUaFUkOgypF-bqA,Co24,4658.0,5hHQN4d97s90ez4GRjqwizOU07CjzhPIk2JkWX-c2Cy13BF8iu5kCamdJQ81TF-zJ5b2Vhp7N-MAEw,1596104585000.0,,,133.0
1,Op1xaCNS6YHeq4LhyZ0iRkMBA6jF9IUzl_W4HP1x5C7cjao,q7i_vKPOq8OkZbcH023KhSmmZWx0wMfAcAqGimgKHnXnzII,Morgan Burdol,4514.0,hwyQ_bbz6NN1oA2errFciDtpnCnEKAD6atskHPQpOR8m_eMvj24ZYxE9agkMinAzFEJ0-J8iFsBaSw,1595900391000.0,,,200.0
2,jZo_S86wVVXDpP8nHxyE6-21FOwLKfX-KhMioQBph_DMQHw,6NJxW65u3eoynmRwqhQUxRK0jjsSdeXrdLl8NyxCqzcwSdE,SANDBOX Serenity,4549.0,K_gRBcK44Ys7HernlkTWY3NE9oCcNpiJgFxM8btjStYDCI9nVoeVaeX11F7BKz2JnI8njoDXdTePYg,1596068518000.0,,,279.0
3,-MUUL2Soq_5L8NKs9e9xyUoeY75IvPyTgfu533inSO-QrVGrAZvujKs7,0igdHImZ8hX_yrKnd_MhCIpCMPYaOGtXG0izeB1w3U8l0GY,vdsqwqerx,4639.0,xPEpItu0fH2FNG5H-YloMbxmY6XIWl9N6qnr4CpKaJmmYspIpUkqH45xXOZl83eDdKJQIM8aT8nrTQ,1596000546000.0,,,87.0
4,gFuHVdqpBpIxjX7J9f5ZrqBW_LdIW_udTGW1DDSzIgxXNwBffkOI0UMe,t-5nUqbzzVq-Thf3AKxRLwkI8zeXUsJ7FtMrXQljdppVyuQ,모두건강하게,29.0,3lej7I_FmXR4C3FyAP_O-_mt5aYMYNBXTVmBW3AFoH0VfTbTzHvlFWjJ9YknGHDPWtEu_DdhYGJ6ZQ,1595871704000.0,,,72.0
5,-DnCjCYJ8F4UDun8V14IYu0P_W8KlGkqwHs3zpKz1jQUemrSqBvXiGPL,amujr7Dd1PxjTCNlhcZucBbe5tt0txxqKfFbjgeTqDrr23s, Qu1et game,1426.0,9lThBAF8bYmRRDa0cdSwQJWSDt_zdxRbpJurh-ah8lBWkRdueWtVOr14RwH8W5_0unE_Xdu816utKA,1596017201000.0,,,307.0
6,PSV3OMKBNznr9auAdj4Is2KBpOLTN0RZscjkznyVkUe5m04i9R9BybdS,EeJPWBNcCykV0jyzvN3DY63sjowBKAzdYRzw9E0RIEXT38c,Onikiri,1114.0,9rwIS2fNoZARfDhhLnC8EsvJBNlPL9FwOI4vPjB949aCqRmEzA9XWNdcckyu7lEwXwVwuvAHVUY3mw,1596092545000.0,,,120.0
7,DiNa-JnZhzSZPWm7Z1U0BTFh0IZjvXKaUBEeKaDYdz21EMCTovcBZ0Os,W2I39Vpqdp0VIiLz0TKQhwe5J__CzrZqwPUuQHcYavNEiso,종탁이,4568.0,P4ZMimzzp280fuJtcAJ6rElF4o2Q_ZMe4Z5AFc-mef915fBfwvfaa4wIrUGv_mXieqHUd4ufRinS2g,1596085926000.0,,,209.0
8,ZvNr4vgPYFQCHeZK5Y3m2WdZ2JEP09ThT281MmzWwjMAhio,MoQmfc8sTUL655JMuf2zhqWELSnZIzIaE237iAv5scI2QBg,아이러니,1114.0,005W-DvXCvY1Kkt2mGVAXfmAVjAhnlGzAHeuMswOFf6tlq8WVj2dh03DokSbZUJ6gv-u2hdIvfwPWw,1595929243000.0,,,195.0
9,lk8RlUScP3yTXxenK7454HitWvsYZyynYjCdSNQ0eErqTXc,VGA4tkZ0PJ2Kba2VXF8xVCrTYGGsjNcF76NOnXzy-actuKA,헤 돈,4658.0,aFrGxbAq0jyqGmIVTo135u62lzq8xELUpGXzFeSZAIRv29MjlENGDK2roY4Gu1Ldz5fqbX59NO3mFg,1596102796000.0,,,124.0
